,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
61,561.0,0,2007,Year,University of Johannesburg,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2007,Year,University of Johannesburg,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,13.0,0,2007,Year,University of Johannesburg,,WHITE,   2.3 Crafts/Trades Employees
64,5.0,0,2007,Year,University of Johannesburg,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2007,Year,University of Johannesburg,,INDIAN,   2.3 Crafts/Trades Employees
66,4.0,0,2007,Year,University of Johannesburg,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2007,Year,University of Johannesburg,,ALL OTHER,   2.3 Crafts/Trades Employees
68,22.0,0,2007,Year,University of Johannesburg,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,20.0,0,2007,Year,University of Johannesburg,MALE,,   2.3 Crafts/Trades Employees
70,2.0,0,2007,Year,University of Johannesburg,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2007,Year,University of Johannesburg,UNKNOWN,,   2.3 Crafts/Trades Employees
72,25.0,0,2007,Year,University of Johannesburg,,WHITE,   2.4 Service\Employees
73,5.0,0,2007,Year,University of Johannesburg,,COLOURED,   2.4 Service\Employees
74,0.0,0,2007,Year,University of Johannesburg,,INDIAN,   2.4 Service\Employees
75,452.0,0,2007,Year,University of Johannesburg,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2007,Year,University of Johannesburg,,ALL OTHER,   2.4 Service\Employees
77,482.0,0,2007,Year,University of Johannesburg,TOTAL,TOTAL,   2.4 Service\Employees
78,367.0,0,2007,Year,University of Johannesburg,MALE,,   2.4 Service\Employees
79,115.0,0,2007,Year,University of Johannesburg,FEMALE,,   2.4 Service\Employees
80,0.0,0,2007,Year,University of Johannesburg,UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2007,Year,University of Johannesburg,,WHITE,3.0 Unknown
82,0.0,0,2007,Year,University of Johannesburg,,COLOURED,3.0 Unknown
83,0.0,0,2007,Year,University of Johannesburg,,INDIAN,3.0 Unknown
84,0.0,0,2007,Year,University of Johannesburg,,AFRICAN,3.0 Unknown
85,0.0,0,2007,Year,University of Johannesburg,,ALL OTHER,3.0 Unknown
86,0.0,0,2007,Year,University of Johannesburg,TOTAL,TOTAL,3.0 Unknown
87,0.0,0,2007,Year,University of Johannesburg,MALE,,3.0 Unknown
88,0.0,0,2007,Year,University of Johannesburg,FEMALE,,3.0 Unknown
89,0.0,0,2007,Year,University of Johannesburg,UNKNOWN,,3.0 Unknown
90,1260.0,0,2007,Year,University of Johannesburg,,WHITE,9.9 TOTAL
91,138.0,0,2007,Year,University of Johannesburg,,COLOURED,9.9 TOTAL
92,108.0,0,2007,Year,University of Johannesburg,,INDIAN,9.9 TOTAL
93,957.0,0,2007,Year,University of Johannesburg,,AFRICAN,9.9 TOTAL
94,0.0,0,2007,Year,University of Johannesburg,,ALL OTHER,9.9 TOTAL
95,2463.0,0,2007,Year,University of Johannesburg,TOTAL,TOTAL,9.9 TOTAL
96,1273.0,0,2007,Year,University of Johannesburg,MALE,,9.9 TOTAL
97,1190.0,0,2007,Year,University of Johannesburg,FEMALE,,9.9 TOTAL
98,0.0,0,2007,Year,University of Johannesburg,UNKNOWN,,9.9 TOTAL
