,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Programme,Personnel Category
0,385.647,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),1.0 INSTRUCTION,INSTR/ RESEARCH  PROF 
1,5.27,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),1.0 INSTRUCTION,EXEC/ ADMIN / MANAG PROF
2,2.91,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),1.0 INSTRUCTION,SPEC/ SUPP PROF
3,1.479,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),1.0 INSTRUCTION,TECHNICAL EMPLOYEES
4,1.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),1.0 INSTRUCTION,NON-PROF ADMIN EMPLOYEES
5,0.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),1.0 INSTRUCTION,CRAFTS / TRADES EMPLOYEES
6,0.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),1.0 INSTRUCTION,SERVICE EMPLOYEES
7,396.306,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),1.0 INSTRUCTION,TOTAL 
8,40.886,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),2.0 RESEARCH ,INSTR/ RESEARCH  PROF 
9,0.53,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),2.0 RESEARCH ,EXEC/ ADMIN / MANAG PROF
10,0.22,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),2.0 RESEARCH ,SPEC/ SUPP PROF
11,0.025,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),2.0 RESEARCH ,TECHNICAL EMPLOYEES
12,0.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),2.0 RESEARCH ,NON-PROF ADMIN EMPLOYEES
13,0.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),2.0 RESEARCH ,CRAFTS / TRADES EMPLOYEES
14,0.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),2.0 RESEARCH ,SERVICE EMPLOYEES
15,41.661,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),2.0 RESEARCH ,TOTAL 
16,1.31,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),3.0 PUBLIC SERVICE,INSTR/ RESEARCH  PROF 
17,0.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),3.0 PUBLIC SERVICE,EXEC/ ADMIN / MANAG PROF
18,0.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),3.0 PUBLIC SERVICE,SPEC/ SUPP PROF
19,0.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),3.0 PUBLIC SERVICE,TECHNICAL EMPLOYEES
20,1.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),3.0 PUBLIC SERVICE,NON-PROF ADMIN EMPLOYEES
21,0.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),3.0 PUBLIC SERVICE,CRAFTS / TRADES EMPLOYEES
22,0.0,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),3.0 PUBLIC SERVICE,SERVICE EMPLOYEES
23,2.31,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),3.0 PUBLIC SERVICE,TOTAL 
24,29.517,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),4.0 ACADEMIC SUPPORT,INSTR/ RESEARCH  PROF 
25,3.1,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),4.0 ACADEMIC SUPPORT,EXEC/ ADMIN / MANAG PROF
26,21.334,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),4.0 ACADEMIC SUPPORT,SPEC/ SUPP PROF
27,23.5,0,2017,Year,INSTITUTION: H17 (UNIVERSITY OF VENDA),4.0 ACADEMIC SUPPORT,TECHNICAL EMPLOYEES
